record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,trageprotokoll_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,trageprotokoll_complete
19,trageprotokoll,21,,,0,1,,,"2025-09-12 20:27",,,,,,,,,,,,,,,,,568E62FE-C8BC-4931-AFB1-9BCD03CC3B03,"2025-09-12 20:27:50","2025-09-12 20:28:03",,1,"{    ""syncdate"" : ""2025-09-12 20:28:03"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone""  }",result_trageprotokoll_19_21.zip,0
19,trageprotokoll,22,,,0,2,,,,"2025-09-12 23:44",,,,,,,,,,,,,,,,6DD0E79D-D3FE-4CFB-B784-B89DEF3610C7,"2025-09-12 23:54:07","2025-09-12 23:54:35",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""syncdate"" : ""2025-09-12 23:54:35"",    ""configversion"" : ""2"",    ""deviceplatform"" : ""iOS"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemodel"" : ""iPhone"",    ""appversion"" : ""2.21.0""  }",result_trageprotokoll_19_22.zip,0
19,trageprotokoll,23,,,0,1,,,"2025-09-13 03:36",,,,,,,,,,,,,,,,,3620A004-9C78-4744-A8CB-CD7169E8B76B,"2025-09-13 10:48:22","2025-09-13 10:48:28",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceplatform"" : ""iOS"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""2"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-13 10:48:28"",    ""devicemodel"" : ""iPhone""  }",result_trageprotokoll_19_23.zip,0
19,trageprotokoll,24,,,0,1,,,"2025-09-13 10:48",,,,,,,,,,,,,,,,,DF5B77AD-9133-4356-B5A5-7692B63E64CB,"2025-09-13 10:48:30","2025-09-13 10:48:41",,1,"{    ""configversion"" : ""2"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2025-09-13 10:48:41"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""appversion"" : ""2.21.0""  }",result_trageprotokoll_19_24.zip,0
19,trageprotokoll,25,,,0,0,"2025-09-13 12:49",1,,,,1,,1,,,,,,,,,,,,8E47A91A-8648-4450-8C6C-7E3726F12380,"2025-09-13 12:49:11","2025-09-13 12:49:24",,1,"{    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-13 12:49:24"",    ""configversion"" : ""2"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""deviceversion"" : ""18.6.2"",    ""devicemodel"" : ""iPhone""  }",result_trageprotokoll_19_25.zip,0
19,trageprotokoll,26,,,0,1,,,"2025-09-13 13:40",,,,,,,,,,,,,,,,,8773D490-72DE-4DDA-9183-1DBE9710002E,"2025-09-13 13:51:16","2025-09-13 13:51:29",,1,"{    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""syncdate"" : ""2025-09-13 13:51:29"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""configversion"" : ""2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceversion"" : ""18.6.2"",    ""percentComplete"" : ""100""  }",result_trageprotokoll_19_26.zip,0
19,trageprotokoll,27,,,0,2,,,,"2025-09-13 22:08",,,,,,,,,,,,,,,,A1FAFE54-CBDD-421A-BCF3-8567DC1D63CF,"2025-09-13 22:08:51","2025-09-13 22:09:08",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceversion"" : ""18.6.2"",    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2025-09-13 22:09:08"",    ""percentComplete"" : ""100"",    ""configversion"" : ""2"",    ""deviceplatform"" : ""iOS""  }",result_trageprotokoll_19_27.zip,0
19,trageprotokoll,28,,,0,1,,,"2025-09-15 09:50",,,,,,,,,,,,,,,,,814BDB3C-F2A4-43F5-86E4-9FA8FA361478,"2025-09-15 09:51:15","2025-09-15 09:51:40",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""appversion"" : ""2.21.0"",    ""deviceplatform"" : ""iOS"",    ""configversion"" : ""2"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-15 09:51:40""  }",result_trageprotokoll_19_28.zip,0
19,trageprotokoll,29,,,0,0,"2025-09-15 14:34",1,,,,0,Nachttisch,0,,,,,,,,,,,,EDA2DA92-C5CE-4DA0-B0FB-824A5CE30424,"2025-09-15 14:34:48","2025-09-15 14:35:08",,1,"{    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""2"",    ""devicemanufacturer"" : ""Apple"",    ""syncdate"" : ""2025-09-15 14:35:08"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemodel"" : ""iPhone""  }",result_trageprotokoll_19_29.zip,0
19,trageprotokoll,30,,,0,1,,,"2025-09-15 15:50",,,,,,,,,,,,,,,,,97EEF655-D7D8-4B96-9375-E87BDDC9D936,"2025-09-15 15:54:29","2025-09-15 15:54:40",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0"",    ""deviceversion"" : ""18.6.2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""devicemodel"" : ""iPhone"",    ""configversion"" : ""2"",    ""syncdate"" : ""2025-09-15 15:54:40""  }",result_trageprotokoll_19_30.zip,0
